Country Code,Year,Expense (% of GDP),Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),"Services, value added (% of GDP)",Tax revenue (% of GDP),Trade (% of GDP),Merchandise trade (% of GDP),"Government expenditure on education, total (% of GDP)",Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Forest rents (% of GDP),Current account balance (% of GDP),Current health expenditure (% of GDP),"Agriculture, forestry, and fishing, value added (% of GDP)",Access to electricity (% of population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (annual % growth)",Total greenhouse gas emissions (% change from 1990)
EUU,2009,40.39850703,36.16164049,1.677244444,3.256169033,3.920156125,-4.325825805,65.78480231,19.17455836,70.64603654,57.47528145,5.554969788,20.60286863,22.25623564,0.05187642688,6.198950992,9.957669269,1.505692758,100,42.93987582,0.491869748,-16.40648954
EUU,2010,40.70089795,40.02167644,1.538791072,3.70897245,4.372824091,2.20972967,65.17270157,19.3648966,78.50456181,65.34596111,5.312739849,21.16312786,22.70002945,0.06058140347,61.02613658,9.882344225,1.633838271,100,42.54467087,-2.477283271,-14.85079764
EUU,2011,39.23334398,42.76225123,1.572988121,5.576484424,5.902036792,1.83195467,64.98162619,19.47168076,83.95151435,70.77934873,4.969920158,21.73098896,23.29342041,0.05996954468,40.6898087,9.82345043,1.712391719,100,42.30540727,2.729804106,-16.94344883
EUU,2012,39.60909886,44.19453969,2.758917799,4.017612539,4.024607219,-0.7518309759,65.26710849,19.92101824,85.63016159,71.75895796,4.880609989,20.23878983,22.9841991,0.05912012214,31.34283127,9.911966666,1.703623893,100,42.12809865,-4.862824395,-17.40170619
EUU,2013,39.79558018,44.26267368,3.390455155,3.985603967,4.651727488,-0.05531339265,65.58389773,20.20154144,85.13489221,70.58707255,4.961110115,19.77298521,23.16640969,0.05904949126,95.26713059,9.979393651,1.753402457,100,41.83808404,3.547239628,11.33086491
EUU,2014,39.34963498,44.8671054,3.60667037,2.753412403,3.61587665,1.572942757,65.68108459,20.25618336,86.12754044,70.37740742,5.124000072,20.16215925,23.78102882,0.06110329131,65.31736509,10.00026575,1.720638418,100,41.40659495,5.402967118,10.3824198
EUU,2015,38.77436416,45.73679926,4.062388561,5.705135722,6.7834742,2.30060265,65.44558709,20.15378945,87.41120996,70.41909713,4.897535086,20.53952047,24.60455663,0.06005800667,70.47087983,9.935713779,1.667112363,100,41.36477414,-0.7063955189,52.58641739
EUU,2016,38.3047419,45.20756487,4.149376023,5.294683539,5.83685372,2.044737068,65.38125366,20.13649405,86.26575372,69.06976194,4.801780224,20.66693806,24.82838715,0.06184080553,35.03243745,9.928277206,1.624758995,99.96019634,41.11826112,-1.277545542,86.13054473
EUU,2017,37.33477831,46.7026723,3.937895189,3.764780457,4.441266412,2.789165217,65.30328401,19.67379066,89.46744941,72.01455243,4.725169897,21.28073399,25.2195452,0.05961259063,36.63297653,9.879008816,1.712179752,100,41.09733071,1.235020569,19.01691094
EUU,2018,37.00632556,47.26865592,3.538747687,-0.3638139008,0.5986416736,2.118239984,65.35737634,19.77526694,90.99856415,73.56567816,35.11867467,21.81866347,25.35759145,0.0661635601,82.81481726,9.853993834,1.635426389,100,40.94154655,0.1114458784,54.30977306
